#Arbeitsobjekt;;;;;;;;;;Arbeitssystem;;;;;;;;Faktoren;;;Ergebnis: Zeitaufwand;;;;Ergebnis: Kosten pro m3;;;;Ergebnis: Kosten total;;;
#Holzmenge;Rindenabzug manuell;Rindenabzug manuell;Linienlänge;Anzahl Stützen;Anzahl Endmasten;Ist Seilverlegung;WindenTransport;WindenStandort;Distanz;Personal;Anzahl;Seilkran;Laufzeit;Tägliche Arbeitszeit;Wegzeiten und Pausen;Weitere Aufwände CHF;Weitere Aufwände Std.;Risiko/Verwaltung/Gewinn;Währungskürzel;Korrekturfaktor;Dauer der Arbeit;Personal;Seilkran;Weitere Aufwände;Personal;Seilkran;Weitere Aufwände;Total;Personal;Seilkran;Weitere Aufwände;Total
1;true;1;800;2;1;FALSE;KeinWindenTransport;Bleibt;0;55;3;100;20;540;60;0;0;0;SFr.;1;26.84;80.53;3.43;0;4429.18;343.32;0;4772.5;4429.18;343.32;0;4772.5
1;true;1;800;2;1;FALSE;KeinWindenTransport;Bleibt;0;55;3;70;40;540;60;0;0;0;SFr.;1;26.84;80.53;6.87;0;4429.18;480.65;0;4909.83;4429.18;480.65;0;4909.83
1;true;1;800;2;1;FALSE;KeinWindenTransport;Bleibt;0;55;3;70;20;400;60;0;0;0;SFr.;1;28.07;84.21;3.43;0;4631.82;240.33;0;4872.15;4631.82;240.33;0;4872.15
1;true;1;800;2;1;FALSE;KeinWindenTransport;Bleibt;0;55;3;70;20;540;30;0;0;0;SFr.;1;25.26;75.79;3.43;0;4168.64;240.33;0;4408.96;4168.64;240.33;0;4408.96
1;true;1;800;2;1;FALSE;KeinWindenTransport;Bleibt;0;55;3;70;20;540;60;1000;0;0;SFr.;1;26.84;80.53;3.43;0;4429.18;240.33;1000;5669.5;4429.18;240.33;1000;5669.5
1;true;1;800;2;1;FALSE;KeinWindenTransport;Bleibt;0;55;3;70;20;540;60;0;10;0;SFr.;1;26.84;80.53;3.43;10;4429.18;240.33;0;4669.5;4429.18;240.33;0;4669.5
1;true;1;800;2;1;FALSE;KeinWindenTransport;Bleibt;0;55;3;70;20;540;60;0;0;10;SFr.;1;26.84;80.53;3.43;0;4429.18;240.33;0;5136.45;4429.18;240.33;0;5136.45
1;true;1;800;2;1;FALSE;KeinWindenTransport;Bleibt;0;55;3;70;20;540;60;0;0;0;SFr.;1.2;32.21;96.64;4.12;0;5315.01;288.39;0;5603.4;5315.01;288.39;0;5603.4
1;true;1;800;2;1;FALSE;KeinWindenTransport;Bleibt;0;55;3;70;20;540;60;1000;0;10;SFr.;1;26.84;80.53;3.43;0;4429.18;240.33;1000;6236.45;4429.18;240.33;1000;6236.45
1;true;1;800;2;1;FALSE;KeinWindenTransport;Bleibt;0;55;3;70;20;540;60;1000;0;0;SFr.;1.2;32.21;96.64;4.12;0;5315.01;288.39;1000;6603.4;5315.01;288.39;1000;6603.4
