#Arbeitsobjekt;;;;;;;;Arbeitssystem;;;;;;;;;;;;;;;;;;Faktoren;;;Ergebnis: Zeitaufwand;;;;;;;;Ergebnis: Kosten pro m3;;;;;;;Ergebnis: Kosten total;;;;;;;Rotationszeit
#Holzmenge;Rindenabzug manuell;Rindenabzug manuell;Arbeitsverfahren;Holztyp;Baumartengruppe;Horizontaldistanz (m);Vertikaldistanz (m);Helikopterkosten;Anflugpauschale;Heliklasse;Lastvolumen;Anz. Personen Fliegen;Anz. Personen Lagerplatz;PersonalAnsatz;Anz. Motorsägen;MotorsägenAnsatz;Anz. Kranfz.;KranfahrzeugAnsatz;Tägliche Arbeitszeit;Wegzeiten und Pausen;Umsetzen CHF;Umsetzen Std.;Weitere Aufwände CHF;Weitere Aufwände Std.;Kalk. Inkl. Lagerplatzarbeit;Risiko/Verwaltung/Gewinn;Währungskürzel;Korrekturfaktor;Dauer der Arbeit Fliegen;Dauer der Arbeit Absenkplatz;Helifirma;Forstbetrieb Personal;Motorsäge;Kranfahrzeug;Umsetzen;Weitere Aufwände;Helifirma;Forstbetrieb Personal;Motorsäge;Kranfahrzeug;Umsetzen;Weitere Aufwände;Total;Helifirma;Forstbetrieb Personal;Motorsäge;Kranfahrzeug;Umsetzen;Weiter Aufwände;Total;Rotationszeit
1000;true;1;Sortimentsverfahren;Nadelholz_frisch;Fichte;300;100;60;500;Mittel;2;2;2;55;1;14;1;80;540;60;0;0;0;0;TRUE;0;SFr.;1;31.71;61.87;25.62;187.16;25;50;0;0;92.74;10.29;0.35;4;0;0;107.38;92735;10293.89;350;4000;0;0;107378.89;2.24
1000;true;1;Sortimentsverfahren;Nadelholz_frisch;Fichte;300;100;60;500;Schwer;3;2;2;55;1;14;1;80;540;60;0;0;0;0;TRUE;0;SFr.;1;24.16;61.87;19.53;172.07;25;50;0;0;70.79;9.46;0.35;4;0;0;84.6;70790;9464.09;350;4000;0;0;84604.09;2.56
1000;true;1;Sortimentsverfahren;Nadelholz_frisch;Fichte;300;100;60;500;Mittel;2.8571;1;2;55;1;14;1;80;540;60;0;0;0;0;TRUE;0;SFr.;1;22.19;61.87;17.93;145.94;25;50;0;0;65.07;8.03;0.35;4;0;0;77.44;65065.47;8026.94;350;4000;0;0;77442.41;2.24
1000;true;1;Sortimentsverfahren;Nadelholz_frisch;Fichte;300;100;60;500;Mittel;2.8571;2;2;100;1;14;1;80;540;60;0;0;0;0;TRUE;0;SFr.;1;22.19;61.87;17.93;168.14;25;50;0;0;65.07;16.81;0.35;4;0;0;86.23;65065.47;16813.88;350;4000;0;0;86229.34;2.24
1000;true;1;Sortimentsverfahren;Nadelholz_frisch;Fichte;300;100;60;500;Mittel;2.8571;2;2;55;1;30;1;80;540;60;0;0;0;0;TRUE;0;SFr.;1;22.19;61.87;17.93;168.14;25;50;0;0;65.07;9.25;0.75;4;0;0;79.06;65065.47;9247.63;750;4000;0;0;79063.1;2.24
1000;true;1;Sortimentsverfahren;Nadelholz_frisch;Fichte;300;100;60;500;Mittel;2.8571;2;2;55;1;14;1;120;540;60;0;0;0;0;TRUE;0;SFr.;1;22.19;61.87;17.93;168.14;25;50;0;0;65.07;9.25;0.35;6;0;0;80.66;65065.47;9247.63;350;6000;0;0;80663.1;2.24
1000;true;1;Sortimentsverfahren;Nadelholz_frisch;Fichte;300;100;60;500;Mittel;2.8571;2;2;55;1;14;1;80;400;60;0;0;0;0;TRUE;0;SFr.;1;23.21;64.71;17.93;175.83;25;50;0;0;65.07;9.67;0.35;4;0;0;79.09;65065.47;9670.73;350;4000;0;0;79086.19;2.24
1000;true;1;Sortimentsverfahren;Nadelholz_frisch;Fichte;300;100;60;500;Mittel;2.8571;2;2;55;1;14;1;80;540;100;0;0;0;0;TRUE;0;SFr.;1;24.21;67.5;17.93;183.42;25;50;0;0;65.07;10.09;0.35;4;0;0;79.5;65065.47;10088.33;350;4000;0;0;79503.79;2.24
1000;true;1;Sortimentsverfahren;Nadelholz_frisch;Fichte;300;100;60;500;Mittel;2.8571;2;2;55;1;14;1;80;540;60;5000;0;0;0;TRUE;0;SFr.;1;22.19;61.87;17.93;168.14;25;50;0;0;65.07;9.25;0.35;4;5;0;83.66;65065.47;9247.63;350;4000;5000;0;83663.1;2.24
1000;true;1;Sortimentsverfahren;Nadelholz_frisch;Fichte;300;100;60;500;Mittel;2.8571;2;2;55;1;14;1;80;540;60;0;10;0;0;TRUE;0;SFr.;1;22.19;61.87;17.93;168.14;25;50;10;0;65.07;9.25;0.35;4;0;0;78.66;65065.47;9247.63;350;4000;0;0;78662.1;2.24
1000;true;1;Sortimentsverfahren;Nadelholz_frisch;Fichte;300;100;60;500;Mittel;2.8571;2;2;55;1;14;1;80;540;60;0;0;3000;0;TRUE;0;SFr.;1;22.19;61.87;17.93;168.14;25;50;0;0;65.07;9.25;0.35;4;0;3;81.66;65065.47;9247.63;350;4000;0;3000;81663.1;2.24
1000;true;1;Sortimentsverfahren;Nadelholz_frisch;Fichte;300;100;60;500;Mittel;2.8571;2;2;55;1;14;1;80;540;60;0;0;0;15;TRUE;0;SFr.;1;22.19;61.87;17.93;168.14;25;50;0;15;65.07;9.25;0.35;4;0;0;78.66;65065.47;9247.63;350;4000;0;0;78662.1;2.24
1000;true;1;Sortimentsverfahren;Nadelholz_frisch;Fichte;300;100;60;500;Mittel;2.8571;2;2;55;1;14;1;80;540;60;0;0;0;0;FALSE;0;SFr.;1;22.19;0;17.93;44.39;0;0;0;0;65.07;2.44;0;0;0;0;67.51;65065.47;2441.38;0;0;0;0;67506.85;2.24
1000;true;1;Sortimentsverfahren;Nadelholz_frisch;Fichte;300;100;60;500;Mittel;2.857142857;2;2;55;1;14;1;80;540;60;0;0;0;0;TRUE;10;SFr.;1;22.19;61.87;17.93;168.14;25;50;0;0;65.06;9.25;0.35;4;0;0;86.53;65064.5;9247.6;350;4000;0;0;86528.3;2.24
1000;true;1;Sortimentsverfahren;Nadelholz_frisch;Fichte;300;100;60;500;Mittel;2.857142857;2;2;55;1;14;1;80;540;60;0;0;0;0;TRUE;0;SFr.;1.2;26.63;74.25;21.52;201.77;30;60;0;0;77.98;11.1;0.42;4.8;0;0;94.29;77977.4;11097.11;420;4800;0;0;94294.51;2.24
1000;true;1;Sortimentsverfahren;Nadelholz_frisch;Fichte;300;100;60;500;Mittel;2.857142857;2;2;55;1;14;1;80;540;60;1000;0;0;0;TRUE;10;SFr.;1;22.19;61.87;17.93;168.14;25;50;0;0;65.06;9.25;0.35;4;1;0;87.63;65064.5;9247.6;350;4000;1000;0;87628.3;2.24
1000;true;1;Sortimentsverfahren;Nadelholz_frisch;Fichte;300;100;60;500;Mittel;2.857142857;2;2;55;1;14;1;80;540;60;1000;0;0;0;TRUE;0;SFr.;1.2;26.63;74.25;21.52;201.77;30;60;0;0;77.98;11.1;0.42;4.8;1;0;95.29;77977.4;11097.11;420;4800;1000;0;95294.51;2.24
1000;true;1;Sortimentsverfahren;Nadelholz_frisch;Fichte;300;100;60;500;Mittel;2.857142857;2;2;55;1;14;1;80;540;60;0;0;1000;0;TRUE;10;SFr.;1;22.19;61.87;17.93;168.14;25;50;0;0;65.06;9.25;0.35;4;0;1;87.63;65064.5;9247.6;350;4000;0;1000;87628.3;2.24
1000;true;1;Sortimentsverfahren;Nadelholz_frisch;Fichte;300;100;60;500;Mittel;2.857142857;2;2;55;1;14;1;80;540;60;0;0;1000;0;TRUE;0;SFr.;1.2;26.63;74.25;21.52;201.77;30;60;0;0;77.98;11.1;0.42;4.8;0;1;95.29;77977.4;11097.11;420;4800;0;1000;95294.51;2.24
#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#Achtung: Das Arbeitsverfahren bestimmt direkt die Anzahl beteiligter Personen, Motorsägen, und Kranfahrzeuge!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
