#Arbeitsobjekt;;;;;;;;Arbeitssystem;;;;;;;;Faktoren;;;Ergebnis: Zeitaufwand;;;;;Ergebnis: Kosten pro m3;;;;;Ergebnis: Kosten total;;;;;Produktivität
#Baumartengruppe;Massenmittelstamm;Holzmenge;Anteil Industrieholz;Anteil Schichtholz;Stuecklaengen;Hangneigung;Hindernisse;Personal;Motorsäge;Tägliche Arbeitszeit;Wegzeiten und Pausen;Umsetzen CHF;Umsetzen Std;Weitere Aufwände CHF;Weitere Aufwände Std.;Risiko/Verwaltung/Gewinn;Währungskürzel;Korrekturfaktor;Dauer der Arbeit;Personal;Motorsäge;Umsetzen;Weitere Aufwände;Personal;Motorsäge;Umsetzen;Weitere Aufwände;Total;Personal;Motorsäge;Umsetzen;Weitere Aufwände;Total;Produktivität
Fichte;0.3;200;100;0;Ueber7m;Hangneigung_71bis100;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;23.33;23.33;10.37;0;0;6.42;0.73;0;0;7.14;1283.29;145.18;0;0;1428.47;10.61
Fichte;0.3;200;100;0;Ueber7m;Hangneigung_0bis30;Gering;55;14;540;60;0;0;0;0;0;SFr.;1;20.25;20.25;9;0;0;5.57;0.63;0;0;6.2;1113.6;125.98;0;0;1239.58;12.22
Fichte;0.3;200;100;0;Ueber7m;Hangneigung_0bis30;Maessig;55;14;540;60;0;0;0;0;0;SFr.;1;21.21;21.21;9.43;0;0;5.83;0.66;0;0;6.49;1166.63;131.98;0;0;1298.61;11.67
Fichte;0.3;200;100;0;Ueber7m;Hangneigung_0bis30;Stark;55;14;540;60;0;0;0;0;0;SFr.;1;23.14;23.14;10.28;0;0;6.36;0.72;0;0;7.08;1272.69;143.98;0;0;1416.67;10.7
Fichte;0.3;200;100;0;Ueber7m;Hangneigung_0bis30;Keine;80;14;540;60;0;0;0;0;0;SFr.;1;19.28;19.28;8.57;0;0;7.71;0.6;0;0;8.31;1542.65;119.98;0;0;1662.63;12.84
Fichte;0.3;200;100;0;Ueber7m;Hangneigung_0bis30;Keine;55;18;540;60;0;0;0;0;0;SFr.;1;19.28;19.28;8.57;0;0;5.3;0.77;0;0;6.07;1060.57;154.26;0;0;1214.84;12.84
Fichte;0.3;200;100;0;Ueber7m;Hangneigung_0bis30;Keine;55;14;300;60;0;0;0;0;0;SFr.;1;21.43;21.43;8.57;0;0;5.89;0.6;0;0;6.49;1178.41;119.98;0;0;1298.4;12.84
Fichte;0.3;200;100;0;Ueber7m;Hangneigung_0bis30;Keine;55;14;540;30;0;0;0;0;0;SFr.;1;18.15;18.15;8.57;0;0;4.99;0.6;0;0;5.59;998.18;119.98;0;0;1118.17;12.84
Fichte;0.3;200;100;0;Ueber7m;Hangneigung_0bis30;Keine;55;14;540;60;200;0;0;0;0;SFr.;1;19.28;19.28;8.57;0;0;5.3;0.6;1;0;6.9;1060.57;119.98;200;0;1380.56;12.84
Fichte;0.3;200;100;0;Ueber7m;Hangneigung_0bis30;Keine;55;14;540;60;0;4;0;0;0;SFr.;1;19.28;19.28;8.57;4;0;5.3;0.6;0;0;5.9;1060.57;119.98;0;0;1180.56;12.84
Fichte;0.3;200;100;0;Ueber7m;Hangneigung_0bis30;Keine;55;14;540;60;0;0;150;0;0;SFr.;1;19.28;19.28;8.57;0;0;5.3;0.6;0;0.75;6.65;1060.57;119.98;0;150;1330.56;12.84
Fichte;0.3;200;100;0;Ueber7m;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;3;0;SFr.;1;19.28;19.28;8.57;0;3;5.3;0.6;0;0;5.9;1060.57;119.98;0;0;1180.56;12.84
Fichte;0.3;200;100;0;Ueber7m;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;10;SFr.;1;19.28;19.28;8.57;0;0;5.3;0.6;0;0;6.49;1060.57;119.98;0;0;1298.61;12.84
Fichte;0.3;200;100;0;Ueber7m;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1.2;23.14;23.14;10.28;0;0;6.36;0.72;0;0;7.08;1272.69;143.98;0;0;1416.67;10.7
Fichte;0.3;200;100;0;Ueber7m;Hangneigung_0bis30;Keine;55;14;540;60;1000;0;0;0;10;SFr.;1;19.28;19.28;8.57;0;0;5.3;0.6;5;0;11.99;1060.57;119.98;1000;0;2398.61;12.84
Fichte;0.3;200;100;0;Ueber7m;Hangneigung_0bis30;Keine;55;14;540;60;1000;0;0;0;0;SFr.;1.2;23.14;23.14;10.28;0;0;6.36;0.72;5;0;12.08;1272.69;143.98;1000;0;2416.67;10.7
Fichte;0.3;200;100;0;Ueber7m;Hangneigung_0bis30;Keine;55;14;540;60;0;0;1000;0;10;SFr.;1;19.28;19.28;8.57;0;0;5.3;0.6;0;5;11.99;1060.57;119.98;0;1000;2398.61;12.84
Fichte;0.3;200;100;0;Ueber7m;Hangneigung_0bis30;Keine;55;14;540;60;0;0;1000;0;0;SFr.;1.2;23.14;23.14;10.28;0;0;6.36;0.72;0;5;12.08;1272.69;143.98;0;1000;2416.67;10.7
