#Arbeitsobjekt;;;;;;;;;;Arbeitssystem;;;;;;;;;;;;Faktoren;;;Ergebnis: Zeitaufwand;;;;;;;Ergebnis: Kosten pro m3 oR;;;;;;;Ergebnis: Kosten total;;;;;;;Produktivität
#Holzmenge [SRm];Rindenabzug manuell;Rindenabzug manuell;Erschwernisse;Länge pro Aufstellung;Anzahl Stützen;Anzahl Aufstellungen;Hangneigung;Anteil Laubholz;Ergebnisanzeige;Equipe (Anzahl Arbeiter);Anteil Einsatzzeit Verzugsfahrzeug;Personal Kosten (pro Person);KSG Kosten;Motorsäge Kosten;Verzugsfahrzeug inkl. Fahrer;Tägliche Arbeitszeit;Wegzeiten und Pausen;Umsetzen CHF;Umsetzen Std;Weitere Aufwände CHF;Weitere Aufwände Std.;Risiko/Verwaltung/Gewinn;Währungskürzel;Korrekturfaktor;Total;Personal (insgesamt);KSG;Motorsäge;Verzugsfahrzeug inkl. Fahrer;Umsetzen;Weitere Aufwände;Personal (insgesamt);KSG;Motorsäge;Verzugsfahrzeug inkl. Fahrer;Umsetzen;Weitere Aufwände;Total;Personal (insgesamt);KSG;Motorsäge;Verzugsfahrzeug inkl. Fahrer;Umsetzen;Weitere Aufwände;Total;m3oRproWSH
100;false;0.89;Keine;100;3;2;0;20;AlleArbeitsschritte;3;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;25.24;75.71;19.08;4.31;3.45;0;0;68.05;42.88;0.68;6.59;0;0;118.2;6056.61;3816.36;60.33;586.11;0;0;10519.42;3.97
100;false;0.89;Keine;100;3;2;0;20;AlleArbeitsschritte;4;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;18.93;75.71;15.29;3.23;2.59;0;0;68.05;34.37;0.51;4.94;0;0;107.87;6056.61;3058.89;45.25;439.58;0;0;9600.33;5.29
100;false;0.89;Keine;100;3;2;0;20;AlleArbeitsschritte;3.5;20;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;21.63;75.71;17.48;3.69;1.18;0;0;68.05;39.28;0.58;2.26;0;0;110.17;6056.61;3495.88;51.72;200.95;0;0;9805.15;4.63
100;false;0.89;Keine;100;3;2;0;20;AlleArbeitsschritte;3.5;0;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;21.63;75.71;17.48;3.69;0;0;0;68.05;39.28;0.58;0;0;0;107.91;6056.61;3495.88;51.72;0;0;0;9604.2;4.63
100;false;0.89;Keine;100;3;2;0;20;AlleArbeitsschritte;3.5;50;100;200;14;170;540;60;0;0;0;0;0;Fr.;1;21.63;75.71;17.48;3.69;2.96;0;0;85.06;39.28;0.58;5.64;0;0;130.57;7570.76;3495.88;51.72;502.38;0;0;11620.73;4.63
100;false;0.89;Keine;100;3;2;0;20;AlleArbeitsschritte;3.5;50;80;100;14;170;540;60;0;0;0;0;0;Fr.;1;21.63;75.71;17.48;3.69;2.96;0;0;68.05;19.64;0.58;5.64;0;0;93.92;6056.61;1747.94;51.72;502.38;0;0;8358.64;4.63
100;false;0.89;Keine;100;3;2;0;20;AlleArbeitsschritte;3.5;50;80;200;20;170;540;60;0;0;0;0;0;Fr.;1;21.63;75.71;17.48;3.69;2.96;0;0;68.05;39.28;0.83;5.64;0;0;113.81;6056.61;3495.88;73.88;502.38;0;0;10128.74;4.63
100;false;0.89;Keine;100;3;2;0;20;AlleArbeitsschritte;3.5;50;80;200;14;200;540;60;0;0;0;0;0;Fr.;1;21.63;75.71;17.48;3.69;2.96;0;0;68.05;39.28;0.58;6.64;0;0;114.55;6056.61;3495.88;51.72;591.04;0;0;10195.23;4.63
100;false;0.89;Keine;100;3;2;0;20;AlleArbeitsschritte;3.5;50;80;200;14;170;600;60;0;0;0;0;0;Fr.;1;21.36;74.77;17.48;3.69;2.96;0;0;67.21;39.28;0.58;5.64;0;0;112.72;5981.83;3495.88;51.72;502.38;0;0;10031.81;4.63
100;false;0.89;Keine;100;3;2;0;20;AlleArbeitsschritte;3.5;50;80;200;14;170;540;20;0;0;0;0;0;Fr.;1;19.97;69.88;17.48;3.69;2.96;0;0;62.82;39.28;0.58;5.64;0;0;108.32;5590.71;3495.88;51.72;502.38;0;0;9640.69;4.63
100;false;0.89;Keine;100;3;2;0;20;AlleArbeitsschritte;3.5;50;80;200;14;170;540;60;1000;0;0;0;0;Fr.;1;21.63;75.71;17.48;3.69;2.96;0;0;68.05;39.28;0.58;5.64;11.24;0;124.79;6056.61;3495.88;51.72;502.38;1000;0;11106.58;4.63
100;false;0.89;Keine;100;3;2;0;20;AlleArbeitsschritte;3.5;50;80;200;14;170;540;60;0;15;0;0;0;Fr.;1;21.63;75.71;17.48;3.69;2.96;15;0;68.05;39.28;0.58;5.64;0;0;113.56;6056.61;3495.88;51.72;502.38;0;0;10106.58;4.63
100;false;0.89;Keine;100;3;2;0;20;AlleArbeitsschritte;3.5;50;80;200;14;170;540;60;0;0;800;0;0;Fr.;1;21.63;75.71;17.48;3.69;2.96;0;0;68.05;39.28;0.58;5.64;0;8.99;122.55;6056.61;3495.88;51.72;502.38;0;800;10906.58;4.63
100;false;0.89;Keine;100;3;2;0;20;AlleArbeitsschritte;3.5;50;80;200;14;170;540;60;0;0;0;8;0;Fr.;1;21.63;75.71;17.48;3.69;2.96;0;8;68.05;39.28;0.58;5.64;0;0;113.56;6056.61;3495.88;51.72;502.38;0;0;10106.58;4.63
100;false;0.89;Keine;100;3;2;0;20;AlleArbeitsschritte;3.5;50;80;200;14;170;540;60;0;0;0;0;2;Fr.;1;21.63;75.71;17.48;3.69;2.96;0;0;68.05;39.28;0.58;5.64;0;0;115.83;6056.61;3495.88;51.72;502.38;0;0;10308.71;4.63
100;false;0.89;Keine;100;3;2;0;20;AlleArbeitsschritte;3.5;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;0.8;17.3;60.57;14.48;3.69;2.96;0;0;54.44;32.53;0.58;5.64;0;0;93.2;4845.28;2895.48;51.72;502.38;0;0;8294.86;4.63
#Achtung wechselnde Einheit bei Produktivität, abhängig von Ergebnisanzeige!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
