#Arbeitsobjekt;;;;;;;;;Arbeitssystem;;;;;;;;;;;;Faktoren;;;Ergebnis: Zeitaufwand;;;;;Ergebnis: Kosten pro m3;;;;;Ergebnis: Kosten total;;;;;Produktivität
#Mittlerer Stückinhalt;Holzmenge;Schlagordnung;Anzahl Sortimente;Fahrentfernung mittel;Zuzugentfernung mittel;Rückeart;Rücken im Saft;Rückebedingungen;Maschinist;Rückegehilfe j/n;Rückegehilfe Ansatz;Einsatzanteil;Schlepper;Schleppertyp;Arbeitszeit;Wegzeiten und Pausen;Umsetzen CHF;Umsetzen Std;Weiter Aufwände CHF;Weiter Aufwände STd;Risiko/Verwaltung/Gewinn;Währungskürzel;Korrekturfaktor;Dauer der Arbeit;Personal;Schäleisen;Umsetzen;Weitere Aufwände;Personal;Motorsäge;Umsetzen;Weitere Aufwände;Total;Personal;Motorsäge;Umsetzen;Weitere Aufwände;Total;Produktivität
0.5;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Ueber40m;GesamtesRuecken;Nein;Mittel;60;FALSE;50;Unbekannt;90;Forstspezialschlepper;540;60;0;0;0;0;0;SFr.;1;38.69;38.69;31.27;0;0;11.61;14.07;0;0;25.68;2321.56;2814.02;0;0;5135.58;6.4
0.5;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Ab30bis40m;NurVorruecken;Nein;Mittel;60;FALSE;50;Unbekannt;90;Forstspezialschlepper;540;60;0;0;0;0;0;SFr.;1;20.56;20.56;16.61;0;0;6.17;7.47;0;0;13.64;1233.33;1494.95;0;0;2728.28;12.04
0.5;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Ueber400m;Ab30bis40m;NurVorruecken;Nein;Mittel;60;FALSE;50;Unbekannt;90;Forstspezialschlepper;540;60;0;0;0;0;0;SFr.;1;20.56;20.56;16.61;0;0;6.17;7.47;0;0;13.64;1233.33;1494.95;0;0;2728.28;12.04
0.5;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Ab30bis40m;NurFertigruecken;Nein;Mittel;60;FALSE;50;Unbekannt;90;Forstspezialschlepper;540;60;0;0;0;0;0;SFr.;1;31.32;31.32;25.31;0;0;9.4;11.39;0;0;20.79;1879.36;2278.01;0;0;4157.37;7.9
0.5;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Ab30bis40m;GesamtesRuecken;Ja;Mittel;60;FALSE;50;Unbekannt;90;Forstspezialschlepper;540;60;0;0;0;0;0;SFr.;1;41.11;41.11;33.22;0;0;12.33;14.95;0;0;27.28;2466.66;2989.89;0;0;5456.55;6.02
0.5;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Ab30bis40m;GesamtesRuecken;Nein;SehrEinfach;60;FALSE;50;Unbekannt;90;Forstspezialschlepper;540;60;0;0;0;0;0;SFr.;1;32.89;32.89;26.58;0;0;9.87;11.96;0;0;21.83;1973.33;2391.91;0;0;4365.24;7.53
0.5;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Ab30bis40m;GesamtesRuecken;Nein;Einfach;60;FALSE;50;Unbekannt;90;Forstspezialschlepper;540;60;0;0;0;0;0;SFr.;1;34.62;34.62;27.98;0;0;10.39;12.59;0;0;22.97;2077.19;2517.8;0;0;4594.99;7.15
0.5;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Ab30bis40m;GesamtesRuecken;Nein;Schwierig;60;FALSE;50;Unbekannt;90;Forstspezialschlepper;540;60;0;0;0;0;0;SFr.;1;38.69;38.69;31.27;0;0;11.61;14.07;0;0;25.68;2321.56;2814.02;0;0;5135.58;6.4
0.5;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Ab30bis40m;GesamtesRuecken;Nein;SehrSchwierig;60;FALSE;50;Unbekannt;90;Forstspezialschlepper;540;60;0;0;0;0;0;SFr.;1;41.11;41.11;33.22;0;0;12.33;14.95;0;0;27.28;2466.66;2989.89;0;0;5456.55;6.02
1;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Ab30bis40m;GesamtesRuecken;Nein;Mittel;120;FALSE;50;Unbekannt;90;Forstspezialschlepper;540;60;0;0;0;0;0;SFr.;1;23.59;23.59;19.06;0;0;14.15;8.58;0;0;22.73;2830.61;1715.52;0;0;4546.14;10.49
1;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Ab30bis40m;GesamtesRuecken;Nein;Mittel;60;TRUE;50;Prz_51bis75;90;Forstspezialschlepper;540;60;0;0;0;0;0;SFr.;1;20.51;35.9;16.58;0;0;10;7.46;0;0;17.46;1999.89;1491.76;0;0;3491.65;12.07
1;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Ab30bis40m;GesamtesRuecken;Nein;Mittel;60;TRUE;75;Prz_51bis75;90;Forstspezialschlepper;540;60;0;0;0;0;0;SFr.;1;20.51;35.9;16.58;0;0;11.92;7.46;0;0;19.38;2384.49;1491.76;0;0;3876.25;12.07
1;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Ab30bis40m;GesamtesRuecken;Nein;Mittel;60;TRUE;50;Unbekannt;90;Forstspezialschlepper;540;60;0;0;0;0;0;SFr.;1;23.59;23.59;19.06;0;0;7.08;8.58;0;0;15.65;1415.31;1715.52;0;0;3130.83;10.49
1;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Ab30bis40m;GesamtesRuecken;Nein;Mittel;60;TRUE;50;Prz_0;90;Forstspezialschlepper;540;60;0;0;0;0;0;SFr.;1;23.59;23.59;19.06;0;0;7.08;8.58;0;0;15.65;1415.31;1715.52;0;0;3130.83;10.49
1;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Ab30bis40m;GesamtesRuecken;Nein;Mittel;60;TRUE;50;Prz_1bis25;90;Forstspezialschlepper;540;60;0;0;0;0;0;SFr.;1;23.59;29.49;19.06;0;0;8.55;8.58;0;0;17.13;1710.16;1715.52;0;0;3425.69;10.49
1;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Ab30bis40m;GesamtesRuecken;Nein;Mittel;60;TRUE;50;Prz_26bis50;90;Forstspezialschlepper;540;60;0;0;0;0;0;SFr.;1;23.59;35.38;19.06;0;0;10.03;8.58;0;0;18.6;2005.02;1715.52;0;0;3720.54;10.49
1;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Ab30bis40m;GesamtesRuecken;Nein;Mittel;60;TRUE;50;Prz_76bis100;90;Forstspezialschlepper;540;60;0;0;0;0;0;SFr.;1;20.51;41.02;16.58;0;0;11.28;7.46;0;0;18.74;2256.29;1491.76;0;0;3748.05;12.07
1;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Ab30bis40m;GesamtesRuecken;Nein;Mittel;60;FALSE;50;Unbekannt;180;Forstspezialschlepper;540;60;0;0;0;0;0;SFr.;1;23.59;23.59;19.06;0;0;7.08;17.16;0;0;24.23;1415.31;3431.05;0;0;4846.36;10.49
1;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Ab30bis40m;GesamtesRuecken;Nein;Mittel;60;FALSE;50;Unbekannt;90;Forstspezialschlepper;540;60;0;0;0;0;0;SFr.;1;23.59;23.59;19.06;0;0;7.08;8.58;0;0;15.65;1415.31;1715.52;0;0;3130.83;10.49
1;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Ab30bis40m;GesamtesRuecken;Nein;Mittel;60;FALSE;50;Unbekannt;90;AndereSchleppertypen;540;60;0;0;0;0;0;SFr.;1;26.21;26.21;21.18;0;0;7.86;9.53;0;0;17.39;1572.56;1906.14;0;0;3478.7;9.44
1;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Ab30bis40m;GesamtesRuecken;Nein;Mittel;60;FALSE;50;Unbekannt;90;AndereSchleppertypen;300;60;0;0;0;0;0;SFr.;1;29.12;29.12;21.18;0;0;8.74;9.53;0;0;18.27;1747.29;1906.14;0;0;3653.43;9.44
1;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Ab30bis40m;GesamtesRuecken;Nein;Mittel;60;FALSE;50;Unbekannt;90;AndereSchleppertypen;540;15;0;0;0;0;0;SFr.;1;23.96;23.96;21.18;0;0;7.19;9.53;0;0;16.72;1437.77;1906.14;0;0;3343.91;9.44
1;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Ab30bis40m;GesamtesRuecken;Nein;Mittel;60;FALSE;50;Unbekannt;90;AndereSchleppertypen;540;60;100;0;0;0;0;SFr.;1;26.21;26.21;21.18;0;0;7.86;9.53;0.5;0;17.89;1572.56;1906.14;100;0;3578.7;9.44
1;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Ab30bis40m;GesamtesRuecken;Nein;Mittel;60;FALSE;50;Unbekannt;90;AndereSchleppertypen;540;60;0;5;0;0;0;SFr.;1;26.21;26.21;21.18;5;0;7.86;9.53;0;0;17.39;1572.56;1906.14;0;0;3478.7;9.44
1;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Ab30bis40m;GesamtesRuecken;Nein;Mittel;60;FALSE;50;Unbekannt;90;AndereSchleppertypen;540;60;0;0;100;0;0;SFr.;1;26.21;26.21;21.18;0;0;7.86;9.53;0;0.5;17.89;1572.56;1906.14;0;100;3578.7;9.44
1;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Ab30bis40m;GesamtesRuecken;Nein;Mittel;60;FALSE;50;Unbekannt;90;AndereSchleppertypen;540;60;0;0;0;5;0;SFr.;1;26.21;26.21;21.18;0;5;7.86;9.53;0;0;17.39;1572.56;1906.14;0;0;3478.7;9.44
1;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Ab30bis40m;GesamtesRuecken;Nein;Mittel;60;FALSE;50;Unbekannt;90;Forstspezialschlepper;540;60;0;0;0;0;10;SFr.;1;23.59;23.59;19.06;0;0;7.08;8.58;0;0;17.22;1415.31;1715.52;0;0;3443.91;10.49
1;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Ab30bis40m;GesamtesRuecken;Nein;Mittel;60;FALSE;50;Unbekannt;90;Forstspezialschlepper;540;60;0;0;0;0;0;SFr.;1.2;28.31;28.31;22.87;0;0;8.49;10.29;0;0;18.78;1698.37;2058.63;0;0;3757;8.74
1;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Ab30bis40m;GesamtesRuecken;Nein;Mittel;60;FALSE;50;Unbekannt;90;Forstspezialschlepper;540;60;1000;0;0;0;10;SFr.;1;23.59;23.59;19.06;0;0;7.08;8.58;5;0;22.72;1415.31;1715.52;1000;0;4543.91;10.49
1;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Ab30bis40m;GesamtesRuecken;Nein;Mittel;60;FALSE;50;Unbekannt;90;Forstspezialschlepper;540;60;1000;0;0;0;0;SFr.;1.2;28.31;28.31;22.87;0;0;8.49;10.29;5;0;23.78;1698.37;2058.63;1000;0;4757;8.74
1;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Ab30bis40m;GesamtesRuecken;Nein;Mittel;60;FALSE;50;Unbekannt;90;Forstspezialschlepper;540;60;0;0;1000;0;10;SFr.;1;23.59;23.59;19.06;0;0;7.08;8.58;0;5;22.72;1415.31;1715.52;0;1000;4543.91;10.49
1;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Ab30bis40m;GesamtesRuecken;Nein;Mittel;60;FALSE;50;Unbekannt;90;Forstspezialschlepper;540;60;0;0;1000;0;0;SFr.;1.2;28.31;28.31;22.87;0;0;8.49;10.29;0;5;23.78;1698.37;2058.63;0;1000;4757;8.74
