#Arbeitsobjekt;;;;;;;Arbeitssystem;;;;;;;;Faktoren;;;Ergebnis: Zeitaufwand;;;;;Ergebnis: Kosten pro m3;;;;;Ergebnis: Kosten total;;;;;Produktivität
#Baumartengruppe;Massenmittelstamm;Holzmenge;Stuecklaengen;Kanten brechen;Hangneigung;Hindernisse;Personal;Motorsäge;Tägliche Arbeitszeit;Wegzeiten und Pausen;Umsetzen CHF;Umsetzen Std;Weitere Aufwände CHF;Weitere Aufwände Std.;Risiko/Verwaltung/Gewinn;Währungskürzel;Korrekturfaktor;Dauer der Arbeit;Personal;Motorsäge;Umsetzen;Weitere Aufwände;Personal;Motorsäge;Umsetzen;Weitere Aufwände;Total;Personal;Motorsäge;Umsetzen;Weitere Aufwände;Total;Produktivität
Fichte;0.3;100;Von6Bis10m;TRUE;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;25.54;25.54;3.71;0;0;14.05;0.52;0;0;14.57;1404.64;52.01;0;0;1456.65;4.85
Fichte;0.3;100;MehrAls10m;TRUE;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;18.95;18.95;2.76;0;0;10.42;0.39;0;0;10.81;1042.15;38.59;0;0;1080.74;6.53
Fichte;0.3;100;Von4Bis6m;FALSE;Hangneigung_31bis50;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;27.43;27.43;3.99;0;0;15.09;0.56;0;0;15.65;1508.85;55.87;0;0;1564.72;4.51
Fichte;0.3;100;Von4Bis6m;FALSE;Hangneigung_51bis70;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;32.38;32.38;4.71;0;0;17.81;0.66;0;0;18.47;1780.72;65.93;0;0;1846.65;3.82
Fichte;0.3;100;Von4Bis6m;FALSE;Hangneigung_71bis100;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;43.75;43.75;6.36;0;0;24.06;0.89;0;0;24.95;2406.01;89.08;0;0;2495.09;2.83
Fichte;0.3;100;Von4Bis6m;FALSE;Hangneigung_0bis30;Gering;55;14;540;60;0;0;0;0;0;SFr.;1;25.95;25.95;3.77;0;0;14.27;0.53;0;0;14.8;1427.29;52.85;0;0;1480.14;4.77
Fichte;0.3;100;Von4Bis6m;FALSE;Hangneigung_0bis30;Maessig;55;14;540;60;0;0;0;0;0;SFr.;1;27.19;27.19;3.95;0;0;14.95;0.55;0;0;15.51;1495.26;55.36;0;0;1550.62;4.55
Fichte;0.3;100;Von4Bis6m;FALSE;Hangneigung_0bis30;Stark;55;14;540;60;0;0;0;0;0;SFr.;1;29.66;29.66;4.31;0;0;16.31;0.6;0;0;16.92;1631.19;60.39;0;0;1691.59;4.17
Fichte;0.3;100;Von6Bis10m;FALSE;Hangneigung_0bis30;Keine;80;14;540;60;0;0;0;0;0;SFr.;1;20.43;20.43;2.97;0;0;16.34;0.42;0;0;16.76;1634.49;41.61;0;0;1676.09;6.06
Fichte;0.3;100;Von6Bis10m;FALSE;Hangneigung_0bis30;Keine;55;18;540;60;0;0;0;0;0;SFr.;1;20.43;20.43;2.97;0;0;11.24;0.53;0;0;11.77;1123.71;53.49;0;0;1177.2;6.06
Fichte;0.3;100;Von6Bis10m;FALSE;Hangneigung_0bis30;Keine;55;14;300;60;0;0;0;0;0;SFr.;1;22.7;22.7;2.97;0;0;12.49;0.42;0;0;12.9;1248.57;41.61;0;0;1290.17;6.06
Fichte;0.3;100;Von6Bis10m;FALSE;Hangneigung_0bis30;Keine;55;14;540;30;0;0;0;0;0;SFr.;1;19.23;19.23;2.97;0;0;10.58;0.42;0;0;10.99;1057.61;41.61;0;0;1099.22;6.06
Fichte;0.3;100;Von6Bis10m;FALSE;Hangneigung_0bis30;Keine;55;14;540;60;200;0;0;0;0;SFr.;1;20.43;20.43;2.97;0;0;11.24;0.42;2;0;13.65;1123.71;41.61;200;0;1365.32;6.06
Fichte;0.3;100;Von6Bis10m;FALSE;Hangneigung_0bis30;Keine;55;14;540;60;0;4;0;0;0;SFr.;1;20.43;20.43;2.97;4;0;11.24;0.42;0;0;11.65;1123.71;41.61;0;0;1165.32;6.06
Fichte;0.3;100;Von6Bis10m;FALSE;Hangneigung_0bis30;Keine;55;14;540;60;0;0;150;0;0;SFr.;1;20.43;20.43;2.97;0;0;11.24;0.42;0;1.5;13.15;1123.71;41.61;0;150;1315.32;6.06
Fichte;0.3;100;Von6Bis10m;FALSE;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;3;0;SFr.;1;20.43;20.43;2.97;0;3;11.24;0.42;0;0;11.65;1123.71;41.61;0;0;1165.32;6.06
Fichte;0.3;100;Von6Bis10m;FALSE;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;10;SFr.;1;20.43;20.43;2.97;0;0;11.24;0.42;0;0;12.82;1123.71;41.61;0;0;1281.85;6.06
Fichte;0.3;100;Von6Bis10m;FALSE;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1.2;24.52;24.52;3.57;0;0;13.48;0.5;0;0;13.98;1348.45;49.93;0;0;1398.38;5.05
Fichte;0.3;100;Von6Bis10m;FALSE;Hangneigung_0bis30;Keine;55;14;540;60;1000;0;0;0;10;SFr.;1;20.43;20.43;2.97;0;0;11.24;0.42;10;0;23.82;1123.71;41.61;1000;0;2381.85;6.06
Fichte;0.3;100;Von6Bis10m;FALSE;Hangneigung_0bis30;Keine;55;14;540;60;1000;0;0;0;0;SFr.;1.2;24.52;24.52;3.57;0;0;13.48;0.5;10;0;23.98;1348.45;49.93;1000;0;2398.38;5.05
Fichte;0.3;100;Von6Bis10m;FALSE;Hangneigung_0bis30;Keine;55;14;540;60;0;0;1000;0;10;SFr.;1;20.43;20.43;2.97;0;0;11.24;0.42;0;10;23.82;1123.71;41.61;0;1000;2381.85;6.06
Fichte;0.3;100;Von6Bis10m;FALSE;Hangneigung_0bis30;Keine;55;14;540;60;0;0;1000;0;0;SFr.;1.2;24.52;24.52;3.57;0;0;13.48;0.5;0;10;23.98;1348.45;49.93;0;1000;2398.38;5.05
