#Arbeitsobjekt;;;Arbeitssystem;;;;;;;;;;Faktoren;;;Ergebnis: Zeitaufwand;;;;Ergebnis: Kosten pro m3;;;;;Ergebnis: Kosten total;;;;;Produktivität;
#Baumartengruppe;Holzmenge;Volumenmittelstamm;Maschinist;Harvester;Mkategorie;Mtyp;Tägliche Arbeitszeit;Wegzeiten und Pausen;Umsetzen CHF;Umsetzen Std;Weitere Aufwände CHF;Weitere Aufwände Std.;Risiko/Verwaltung/Gewinn;Währungskürzel;Korrekturfaktor;Personal;Radharvester;Umsetzen;Weitere Aufwände;Personal;Radharvester;Umsetzen;Weitere Aufwände;Total;Personal;Radharvester;Umsetzen;Weitere Aufwände;Total;Produktivität;
Fichte;10000;0.45;60;370;Gross;Standard_gross;540;30;0;0;0;0;0;SFr.;1;737.13;632.89;0.00;0.00;4.42;23.42;0.00;0.00;27.84;44227.80;234169.07;0.00;0.00;278396.86;15.80;
Fichte;10000;0.45;60;370;Gross;Standard_gross;540;60;200;0;0;0;0;SFr.;1;783.20;632.89;0.00;0.00;4.70;23.42;0.02;0.00;28.14;46992.04;234169.07;200.00;0.00;281361.10;15.80;
Fichte;10000;0.45;60;370;Gross;Standard_gross;540;60;0;4;0;0;0;SFr.;1;783.20;632.89;4.00;0.00;4.70;23.42;0.00;0.00;28.12;46992.04;234169.07;0.00;0.00;281161.10;15.80;
Fichte;10000;0.45;60;370;Gross;Standard_gross;540;60;0;0;400;0;0;SFr.;1;783.20;632.89;0.00;0.00;4.70;23.42;0.00;0.04;28.16;46992.04;234169.07;0.00;400.00;281561.10;15.80;
Fichte;10000;0.45;60;370;Gross;Standard_gross;540;60;0;0;0;3;0;SFr.;1;783.20;632.89;0.00;3.00;4.70;23.42;0.00;0.00;28.12;46992.04;234169.07;0.00;0.00;281161.10;15.80;
Fichte;10000;1.2;60;370;Gross;Standard_gross;540;60;0;0;0;0;10;SFr.;1;530.37;428.58;0.00;0.00;3.18;15.86;0.00;0.00;20.94;31822.36;158576.06;0.00;0.00;209438.27;23.33;
Fichte;10000;1.2;60;370;Gross;Standard_gross;540;60;0;0;0;0;0;SFr.;1.2;636.45;514.30;0.00;0.00;3.82;19.03;0.00;0.00;22.85;38186.83;190291.28;0.00;0.00;228478.11;19.44;
Fichte;10000;1.2;60;370;Gross;Standard_gross;540;60;1000;0;0;0;10;SFr.;1;530.37;428.58;0.00;0.00;3.18;15.86;0.10;0.00;21.05;31822.36;158576.06;1000.00;0.00;210538.27;23.33;
Fichte;10000;1.2;60;370;Gross;Standard_gross;540;60;1000;0;0;0;0;SFr.;1.2;636.45;514.30;0.00;0.00;3.82;19.03;0.10;0.00;22.95;38186.83;190291.28;1000.00;0.00;229478.11;19.44;
Fichte;10000;1.2;60;370;Gross;Standard_gross;540;60;0;0;1000;0;10;SFr.;1;530.37;428.58;0.00;0.00;3.18;15.86;0.00;0.10;21.05;31822.36;158576.06;0.00;1000.00;210538.27;23.33;
Fichte;10000;1.2;60;370;Gross;Standard_gross;540;60;0;0;1000;0;0;SFr.;1.2;636.45;514.30;0.00;0.00;3.82;19.03;0.00;0.10;22.95;38186.83;190291.28;0.00;1000.00;229478.11;19.44;
