#Arbeitsobjekt;;;;;;Arbeitssystem;;;;;;;;Faktoren;;;Ergebnis: Zeitaufwand;;;;;Ergebnis: Kosten pro m3;;;;;Ergebnis: Kosten total;;;;;Produktivität
#Baumartengruppe;Massenmittelstamm;Holzmenge;Anteil Fällen mit Handseilzug;Hangneigung;Hindernisse;Personal;Motorsäge;Tägliche Arbeitszeit;Wegzeiten und Pausen;Umsetzen CHF;Umsetzen Std;Weitere Aufwände CHF;Weitere Aufwände Std.;Risiko/Verwaltung/Gewinn;Währungskürzel;Korrekturfaktor;Dauer der Arbeit;Personal;Motorsäge;Umsetzen;Weitere Aufwände;Personal;Motorsäge;Umsetzen;Weitere Aufwände;Total;Personal;Motorsäge;Umsetzen;Weitere Aufwände;Total;Produktivität
Fichte;0.3;200;Klasse_0bis33;Hangneigung_0bis30;Keine;55;14;540;30;0;0;0;0;0;SFr.;1;82.06;82.06;64.11;0;0;22.57;4.49;0;0;27.05;4513.15;897.57;0;0;5410.72;2.84
Fichte;0.3;200;Klasse_0bis33;Hangneigung_0bis30;Keine;55;14;540;60;200;0;0;0;0;SFr.;1;87.19;87.19;64.11;0;0;23.98;4.49;1;0;29.46;4795.22;897.57;200;0;5892.79;2.84
Fichte;0.3;200;Klasse_0bis33;Hangneigung_0bis30;Keine;55;14;540;60;0;4;0;0;0;SFr.;1;87.19;87.19;64.11;4;0;23.98;4.49;0;0;28.46;4795.22;897.57;0;0;5692.79;2.84
Fichte;0.3;200;Klasse_0bis33;Hangneigung_0bis30;Keine;55;14;540;60;0;0;150;0;0;SFr.;1;87.19;87.19;64.11;0;0;23.98;4.49;0;0.75;29.21;4795.22;897.57;0;150;5842.79;2.84
Fichte;0.3;200;Klasse_0bis33;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;3;0;SFr.;1;87.19;87.19;64.11;0;3;23.98;4.49;0;0;28.46;4795.22;897.57;0;0;5692.79;2.84
Fichte;0.3;200;Klasse_0bis33;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;10;SFr.;1;87.19;87.19;64.11;0;0;23.98;4.49;0;0;31.31;4795.22;897.57;0;0;6262.07;2.84
Fichte;0.3;200;Klasse_0bis33;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1.2;104.62;104.62;76.93;0;0;28.77;5.39;0;0;34.16;5754.26;1077.09;0;0;6831.35;2.37
Fichte;0.3;200;Klasse_0bis33;Hangneigung_0bis30;Keine;55;14;540;60;1000;0;0;0;10;SFr.;1;87.19;87.19;64.11;0;0;23.98;4.49;5;0;36.81;4795.22;897.57;1000;0;7362.07;2.84
Fichte;0.3;200;Klasse_0bis33;Hangneigung_0bis30;Keine;55;14;540;60;1000;0;0;0;0;SFr.;1.2;104.62;104.62;76.93;0;0;28.77;5.39;5;0;39.16;5754.26;1077.09;1000;0;7831.35;2.37
Fichte;0.3;200;Klasse_0bis33;Hangneigung_0bis30;Keine;55;14;540;60;0;0;1000;0;10;SFr.;1;87.19;87.19;64.11;0;0;23.98;4.49;0;5;36.81;4795.22;897.57;0;1000;7362.07;2.84
Fichte;0.3;200;Klasse_0bis33;Hangneigung_0bis30;Keine;55;14;540;60;0;0;1000;0;0;SFr.;1.2;104.62;104.62;76.93;0;0;28.77;5.39;0;5;39.16;5754.26;1077.09;0;1000;7831.35;2.37
