#Arbeitsobjekt;;;;;;;;;;;;;;;Arbeitssystem;;;;;;;;;Faktoren;;;Ergebnis: Zeitaufwand;;;;;Ergebnis: Kosten pro m3;;;;;;Ergebnis: Kosten total;;;;;
#Holzmenge;Massenmittelstamm;Anteil Fällen mit Handseilzug;Anteil Entrinden von Hand;Baumartengruppe;Kronenlängenklasse;Hangneigung;Hindernisse;Anteil Industrieholz;Anteil Schichtholz;Anteil Spalten;Stammholz-Stücklängen;Kanten brechen;Industrieholz-Stücklängen;Schichtholz-Stücklängen;Personal;Motorsäge;Schäleisen;Tägliche Arbeitszeit;Wegzeiten und Pausen;Umsetzen CHF;Umsetzen Std;Weitere Aufwände CHF;Weitere Aufwände Std.;Risiko/Verwaltung/Gewinn;Währungskürzel;Korrekturfaktor;Personal;Motorsäge;Schäleisen;Umsetzen;Weitere Aufwände;Personal;Motorsäge;Schäleisen;Umsetzen;Weitere Aufwände;Total;Personal;Motorsäge;Schäleisen;Umsetzen;Weitere Aufwände;Total
400;0.3;0;0;Laubholz;Klasse_0bis33;Hangneigung_0bis30;Keine;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;182.68;91.98;0;0;0;25.12;3.22;0;0;0;28.34;10047.67;1287.72;0;0;0;11335.39
400;0.3;0;0;Fichte;Klasse_33bis50;Hangneigung_0bis30;Keine;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;386.46;190.68;0;0;0;53.14;6.67;0;0;0;59.81;21255.24;2669.48;0;0;0;23924.71
400;0.3;0;0;Fichte;Klasse_51bis66;Hangneigung_0bis30;Keine;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;386.46;190.68;0;0;0;53.14;6.67;0;0;0;59.81;21255.24;2669.48;0;0;0;23924.71
400;0.3;0;0;Fichte;Klasse_67bis90;Hangneigung_0bis30;Keine;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;386.46;190.68;0;0;0;53.14;6.67;0;0;0;59.81;21255.24;2669.48;0;0;0;23924.71
400;0.3;0;0;Fichte;Klasse_91bis100;Hangneigung_0bis30;Keine;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;430.05;222.73;0;0;0;59.13;7.8;0;0;0;66.93;23652.85;3118.26;0;0;0;26771.11
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_31bis50;Keine;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;410.69;200.92;0;0;0;56.47;7.03;0;0;0;63.5;22587.69;2812.94;0;0;0;25400.63
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_51bis70;Keine;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;457.96;223.78;0;0;0;62.97;7.83;0;0;0;70.8;25187.82;3132.94;0;0;0;28320.75
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_71bis100;Keine;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;572.65;279.15;0;0;0;78.74;9.77;0;0;0;88.51;31495.78;3908.07;0;0;0;35403.86
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Gering;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;405.78;200.21;0;0;0;55.79;7.01;0;0;0;62.8;22318;2802.95;0;0;0;25120.95
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Maessig;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;425.1;209.74;0;0;0;58.45;7.34;0;0;0;65.79;23380.76;2936.42;0;0;0;26317.19
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Stark;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;463.75;228.81;0;0;0;63.77;8.01;0;0;0;71.77;25506.28;3203.37;0;0;0;28709.66
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;20;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;380.98;193.13;0;0;0;52.38;6.76;0;0;0;59.14;20953.77;2703.79;0;0;0;23657.56
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;20;20;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;385.25;199.91;0;0;0;52.97;7;0;0;0;59.97;21188.65;2798.78;0;0;0;23987.43
400;0.3;0;50;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;20;20;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;480.71;199.91;70.2;0;0;66.1;7;0.09;0;0;73.18;26439.21;2798.78;35.1;0;0;29273.09
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;0;20;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;400.13;201.64;0;0;0;55.02;7.06;0;0;0;62.08;22007.27;2822.97;0;0;0;24830.25
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;0;20;30;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;416.75;209.03;0;0;0;57.3;7.32;0;0;0;64.62;22921.48;2926.4;0;0;0;25847.88
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;0;30;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;400.67;204.32;0;0;0;55.09;7.15;0;0;0;62.24;22036.58;2860.5;0;0;0;24897.08
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;0;50;30;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;444.94;228.88;0;0;0;61.18;8.01;0;0;0;69.19;24471.52;3204.38;0;0;0;27675.9
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;0;80;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;406.33;219.06;0;0;0;55.87;7.67;0;0;0;63.54;22348.22;3066.8;0;0;0;25415.02
400;0.3;0;0;Laubholz;Klasse_0bis33;Hangneigung_0bis30;Keine;0;80;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;222.66;120.14;0;0;0;30.62;4.21;0;0;0;34.82;12246.29;1682.01;0;0;0;13928.3
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;0;0;0;WenigerAls4m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;403.59;193.17;0;0;0;55.49;6.76;0;0;0;62.26;22197.7;2704.37;0;0;0;24902.08
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;0;0;0;Von4Bis6m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;403.59;193.17;0;0;0;55.49;6.76;0;0;0;62.26;22197.7;2704.37;0;0;0;24902.08
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;0;0;0;MehrAls10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;370.64;188.38;0;0;0;50.96;6.59;0;0;0;57.56;20385.27;2637.27;0;0;0;23022.53
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;0;0;0;Von6Bis10m;TRUE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;406.89;193.65;0;0;0;55.95;6.78;0;0;0;62.73;22378.95;2711.08;0;0;0;25090.03
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;50;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;366.51;194.03;0;0;0;50.4;6.79;0;0;0;57.19;20158.01;2716.39;0;0;0;22874.4
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;50;0;0;Von6Bis10m;FALSE;Bis7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;372.76;196.8;0;0;0;51.25;6.89;0;0;0;58.14;20501.58;2755.26;0;0;0;23256.83
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;0;50;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;403.38;210.42;0;0;0;55.47;7.36;0;0;0;62.83;22186;2945.82;0;0;0;25131.82
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;0;50;0;Von6Bis10m;FALSE;Ueber7m;Laenge1m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;435.89;224.86;0;0;0;59.93;7.87;0;0;0;67.8;23973.73;3148.07;0;0;0;27121.8
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;80;14;0.5;540;60;0;0;0;0;0;SFr.;1;386.46;190.68;0;0;0;77.29;6.67;0;0;0;83.97;30916.71;2669.48;0;0;0;33586.19
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;30;0.5;540;60;0;0;0;0;0;SFr.;1;386.46;190.68;0;0;0;53.14;14.3;0;0;0;67.44;21255.24;5720.31;0;0;0;26975.55
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;300;60;0;0;0;0;0;SFr.;1;429.4;190.68;0;0;0;59.04;6.67;0;0;0;65.72;23616.93;2669.48;0;0;0;26286.41
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;30;0;0;0;0;0;SFr.;1;363.73;190.68;0;0;0;50.01;6.67;0;0;0;56.69;20004.93;2669.48;0;0;0;22674.41
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;500;0;0;0;0;SFr.;1;386.46;190.68;0;0;0;53.14;6.67;0;1.25;0;61.06;21255.24;2669.48;0;500;0;24424.71
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;10;0;0;0;SFr.;1;386.46;190.68;0;10;0;53.14;6.67;0;0;0;59.81;21255.24;2669.48;0;0;0;23924.71
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;800;0;0;SFr.;1;386.46;190.68;0;0;0;53.14;6.67;0;0;2;61.81;21255.24;2669.48;0;0;800;24724.71
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;15;0;SFr.;1;386.46;190.68;0;0;15;53.14;6.67;0;0;0;59.81;21255.24;2669.48;0;0;0;23924.71
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;10;SFr.;1;386.46;190.68;0;0;0;53.14;6.67;0;0;0;65.79;21255.24;2669.48;0;0;0;26317.19
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1.2;463.75;228.81;0;0;0;63.77;8.01;0;0;0;71.77;25506.28;3203.37;0;0;0;28709.66
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;1000;0;0;0;10;SFr.;1;386.46;190.68;0;0;0;53.14;6.67;0;2.5;0;68.54;21255.24;2669.48;0;1000;0;27417.19
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;1000;0;0;0;0;SFr.;1.2;463.75;228.81;0;0;0;63.77;8.01;0;2.5;0;74.27;25506.28;3203.37;0;1000;0;29709.66
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;1000;0;10;SFr.;1;386.46;190.68;0;0;0;53.14;6.67;0;0;2.5;68.54;21255.24;2669.48;0;0;1000;27417.19
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;1000;0;0;SFr.;1.2;463.75;228.81;0;0;0;63.77;8.01;0;0;2.5;74.27;25506.28;3203.37;0;0;1000;29709.66
