#Arbeitsobjekt;;;;;;Arbeitssystem;;;;;;;;;;Faktoren;;;Ergebnis: Zeitaufwand;;;;Ergebnis: Kosten pro m3;;;;Ergebnis: Kosten total;;;;Produktivität;Rotationszeit
#Holztyp;Holzmenge;Rindenabzug manuell;Rindenabzug manuell;Horizontaldistanz (m);Vertikaldistanz (m);Helikopterkosten;Anflugpauschale;Heliklasse;Lastvolumen;PersonalAnzahl;PersonalAnsatz;Tägliche Arbeitszeit;Wegzeiten und Pausen;Weitere Aufwände CHF;Weitere Aufwände Std.;Risiko/Verwaltung/Gewinn;Währungskürzel;Korrekturfaktor;Dauer der Arbeit;Personal;Helifirma;Weitere Aufwände;Personal;Helifirma;Weitere Aufwände;Total;Personal;Helifirma;Weitere Aufwände;Total;Produktivität;Rotationszeit
Nadelholz_frisch;250;true;1;300;100;60;500;Mittel;2.8571;1;55;540;60;0;0;0;SFr.;1;5.55;5.55;4.48;0;1.22;66.57;0;67.79;305.17;16641.37;0;16946.54;55.76;2.24
Nadelholz_frisch;250;true;1;300;100;60;500;Mittel;2.8571;2;80;540;60;0;0;0;SFr.;1;5.55;11.1;4.48;0;3.55;66.57;0;70.12;887.78;16641.37;0;17529.14;55.76;2.24
Nadelholz_frisch;250;true;1;300;100;60;500;Mittel;2.8571;2;55;400;60;0;0;0;SFr.;1;5.8;11.6;4.48;0;2.55;66.57;0;69.12;638.27;16641.37;0;17279.64;55.76;2.24
Nadelholz_frisch;250;true;1;300;100;60;500;Mittel;2.8571;2;55;540;120;0;0;0;SFr.;1;6.34;12.68;4.48;0;2.79;66.57;0;69.36;697.54;16641.37;0;17338.9;55.76;2.24
Nadelholz_frisch;250;true;1;300;100;60;500;Mittel;2.8571;2;55;540;60;150;0;0;SFr.;1;5.55;11.1;4.48;0;2.44;66.57;0.6;69.61;610.35;16641.37;150;17401.71;55.76;2.24
Nadelholz_frisch;250;true;1;300;100;60;500;Mittel;2.8571;2;55;540;60;0;3;0;SFr.;1;5.55;11.1;4.48;3;2.44;66.57;0;69.01;610.35;16641.37;0;17251.71;55.76;2.24
Nadelholz_frisch;250;true;1;300;100;60;500;Mittel;2.8571;2;55;540;60;0;0;10;SFr.;1;5.55;11.1;4.48;0;2.44;66.57;0;75.91;610.35;16641.37;0;18976.88;55.76;2.24
Nadelholz_frisch;250;true;1;300;100;60;500;Mittel;2.8571;2;55;540;60;0;0;0;SFr.;1.2;6.66;13.32;5.38;0;2.93;79.48;0;82.41;732.41;19869.64;0;20602.06;46.46;2.24
Nadelholz_frisch;250;true;1;300;100;60;500;Mittel;2.8571;2;55;540;60;1000;0;10;SFr.;1;5.55;11.1;4.48;0;2.44;66.57;4;80.31;610.35;16641.37;1000;20076.88;55.76;2.24
Nadelholz_frisch;250;true;1;300;100;60;500;Mittel;2.8571;2;55;540;60;1000;0;0;SFr.;1.2;6.66;13.32;5.38;0;2.93;79.48;4;86.41;732.41;19869.64;1000;21602.06;46.46;2.24
